ProjectID	MeanFunding	Title	ProjectSummary
31691	5000.0	Citizen Science Month Award 2021 Awareness and Promotion	"Libraries are quickly becoming hubs for citizen and community science. Your library may already be involved in citizen science programming. If so, bravo! For countless others, citizen and community science is still a bit of a mystery. We created many free resources to help you navigate the rapidly changing landscape, access materials, learn about projects and programs and explore a myriad of opportunities to support your plans to bring citizen science to your library!

Libraries will promote Citizen Science Month using downloadable, customizable resources including bookmarks, flyers, posters, social media images, and other assets. Activity ideas as follows:
Activate awareness of citizen science by boosting social media posts about Citizen Science Month events, programs and projects
Host, co-host, or promote a Citizen Science Month event in April. 
Engage patrons in citizen science projects found on SciStarter.org/NLM or other projects of interest to your community. 
Educate patrons about the All of Us Research program by posting on social media, or presenting several slides about the All of Us Research Program at a general citizen science program.
"
31876	5000.0	Citizen Science Month Award 2021 Awareness and Promotion	"Libraries are quickly becoming hubs for citizen and community science. Your library may already be involved in citizen science programming. If so, bravo! For countless others, citizen and community science is still a bit of a mystery. We created many free resources to help you navigate the rapidly changing landscape, access materials, learn about projects and programs and explore a myriad of opportunities to support your plans to bring citizen science to your library!

Libraries will promote Citizen Science Month using downloadable, customizable resources including bookmarks, flyers, posters, social media images, and other assets. Activity ideas as follows:
Activate awareness of citizen science by boosting social media posts about Citizen Science Month events, programs and projects
Host, co-host, or promote a Citizen Science Month event in April. 
Engage patrons in citizen science projects found on SciStarter.org/NLM or other projects of interest to your community. 
Educate patrons about the All of Us Research program by posting on social media, or presenting several slides about the All of Us Research Program at a general citizen science program.
"
31942	24992.0	If We Build It, Will They Come?	The ongoing coronavirus pandemic is devastating.  The loss of lives is staggering, with over one million lives lost worldwide, and over 200,000 deaths in the United States alone.  The full impact of the pandemic is still unknown, but the ramifications are extensive and dire.  Multiple labs around the globe are working to create effective vaccines, and the possibility that one or more will be available in the coming months is a beacon of hope for many.  However, achieving the benefits of a vaccine requires another step as well â€“ the vaccine will only be effective if there is uptake.  Influenza vaccines have been available in the United States for many years, but less than half of the population is vaccinated each year.  Simply publicizing recommendations for vaccination is insufficient.  Our team recently surveyed a nationally representative sample of approximately 1,000 US adults and found that only 57% intended to be vaccinated when a coronavirus vaccine becomes available.  This percentage was even lower among people who identified as Black or Hispanic (39% and 43% respectively), those with a high school education or less (46%) and those in the lowest income groups (49% of those reporting a household income of $30,000 or less, compared to 72% of those reporting a household income of $100,000 or more).  We asked those who indicated they would not or might not get vaccinated for their reasons and found that some individuals may be willing to be vaccinated if provided specific information about the vaccine such as side effects, and effectiveness.  Others expressed generalized skepticism, fear and distrust of vaccines, with some even referring to currently circulating anti-vaccine conspiracy theories.  Our findings are consistent with an extensive body of research suggesting an urgent need to proactively develop and test interventions to maximize vaccination rates when a coronavirus vaccine becomes available.  We seek to address this need by creating and testing targeted messages to address the concerns of subgroups of people at risk for not being vaccinated with the ultimate goal of maximizing vaccine uptake when a coronavirus vaccine becomes available.   We will accomplish this by working with an existing online panel of volunteers, which will allow efficient, focused data gathering.  Results of the first round of the survey will provide a nuanced, current description of how vulnerable adults perceive the coronavirus and forthcoming vaccines, which will be used as the basis for developing messages and communication strategies.   In the second round we will test different versions of messages intended to reduce vaccine hesitancy and support uptake.   This project will ultimately result in a set of tested, evidence-derived messages about vaccination for COVID-19.  We will make these messages available, together with evidence how these influence members of vulnerable populationsâ€™ understanding of vaccination, and disease risk, as well as intent to be vaccinated.   The messages will be freely available for use by organizations and providers seeking to improve communication about a coronavirus vaccine.  
32006	1983.0	Partner Outreach 2018-2021: University of Minnesota 2020-2021	Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
32388	68100.0	Citizen Science Month Award 2021 Awareness and Promotion	Libraries are quickly becoming hubs for citizen and community science. Your library may already be involved in citizen science programming. If so, bravo! For countless others, citizen and community science is still a bit of a mystery. We created many free resources to help you navigate the rapidly changing landscape, access materials, learn about projects and programs and explore a myriad of opportunities to support your plans to bring citizen science to your library! Libraries will promote Citizen Science Month using downloadable, customizable resources including bookmarks, flyers, posters, social media images, and other assets. Activity ideas as follows: Activate awareness of citizen science by boosting social media posts about Citizen Science Month events, programs and projects Host, co-host, or promote a Citizen Science Month event in April. Engage patrons in citizen science projects found on SciStarter.org/NLM or other projects of interest to your community. Educate patrons about the All of Us Research program by posting on social media, or presenting several slides about the All of Us Research Program at a general citizen science program.
33117	56624.0	COVID-19 Information Dissemination with Promotoras & Native American Health Communities	The University of Arizona Health Sciences Library will lead a series of programs and events to provide reliable, culturally sensitive and aware health information.
33716	464.0	Professional Development - Jeni Starr - 2021	This Professional Development Award will fund applicant&#039;s registration cost to attend Society for Public Health Educators 2021 Conference Gateway to the Future: Health Education &amp; Promotion for All and Pre-conference workshop: Evidence - Informed Health Education and the lnfodemic: Shaping Health Education Messages and Outreach. April 6-9, 2021
33727	1123.0	Professional Development - Laura Cullerton - 2021	This Professional Development Award will fund applicant&#039;s registration costs totaling $1,123.00 to attend University of Wisconsin- Stout Instructional Design Certificate
34355	0.0	test2	testing how this used to work
1000001	1113217.0	Middle Atlantic Region Contract	DESCRIPTION: RML Contract REMARKS: PILastName: Adelman  PIFirstName: Naomi  PIEmailAddress: nadelman@nyam.org  PITelephone: 212-822-7350  Training: Yes  URL: www.nnlm.gov/mar  AwardType: RML Contract
1000002	1139219.6	Southeastern Atlantic Region	DESCRIPTION: RML Contract REMARKS: PILastName: Weise  PIFirstName: Frieda PIEmailAddress: UM, B Health Sciences & Human Services Librayr, 601 West Lombard Street, Baltimore, MD 21201 PITelephone: 410-706-7545  Training: y URL: http://www.hshsl.umaryland.edu/ AwardType: RML contract ProfessionalTargetPopPH: y  ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:y  ProfessionalTargetPopDent: y ProfessionalTargetPopVet: y ProfessionalTargetPopHPStudents:y  OtherProfessionalTargetPop:  allied health
1000003	997010.0	Greater Midwest Region	DESCRIPTION: RML Contract REMARKS: PILastName:Jacobson PIFirstName:Susan PIEmailAddress:sjake@uic.edu PITelephone:312-996-8074 Training:Y URL:http://nnlm.gov/gmr AwardType:
1000004	1265991.0	MidContinental Region	DESCRIPTION: RML Contract
1000005	898271.0	South Central Region Contract 2001 - 2006	DESCRIPTION: RML Contract REMARKS: PILastName: Eaton PIFirstName: Elizabeth PIEmailAddress: eeaton@library.tmc.edu PITelephone: 713-795-4200 Training:  URL:  AwardType:
1000006	1079923.5	Pacific Northwest Region	DESCRIPTION: RML Contract REMARKS: PILastName: Fuller PIFirstName: Sherrilynne PIEmailAddress: sfuller@u.washington.edu PITelephone: 206-543-5531 Training: Y URL: nnlm.gov/pnr AwardType: RML contract ProfessionalTargetPopPH: Y ProfessionalTargetPopMD: Y ProfessionalTargetPopRN: Y ProfessionalTargetPopPharm: Y ProfessionalTargetPopDent: Y ProfessionalTargetPopVet: Y ProfessinalTargetPopHPStudents: Y OtherProfessionalTargetPop:
1000007	1160435.4	Pacific Southwest Region	DESCRIPTION: The mission of the National Network of Libraries of Medicine (NN/LM) is to advance the progress of medicine and improve the public health by 1) providing all U.S. health professionals with equal access to biomedical information; and 2) improving the public's access to information to enable them to make informed decisions about their health. The Program is coordinated by the National Library of Medicine and carried out through a nationwide network of health science libraries and information centers. REMARKS: The Pacific Southwest Regional Medical Library (PSRML), located at the UCLA Louise M. Darling Biomedical Library, is the regional office for the National Network of Libraries of Medicine, Pacific Southwest Region. The Pacific Southwest Region includes the states of Arizona, California, Hawaii, and Nevada, and the U.S.-Associated Pacific Basin. To carry out the NN/LM mission and goals, PSRML has developed specific regional objectives. Quarterly and annual reports are published on the web to provide information on our progress.
1000008	1237815.8	New England Region	DESCRIPTION: RML Contract REMARKS: PILastName: Martin PIFirstName: Elaine PIEmailAddress: elaine.martin@umassmed.edu PITelephone: 508-653-2399 Training: Y URL: http://nnlm.gov/ner AwardType: RML Contract
1000137	24254.5	Internet connectivity for the governor's wellmobile	DESCRIPTION: Provide access to information resources on a mobile health care unit that serves uninsured & underserved populations. Access is for clinicians and students. REMARKS: Abbott
1000138	14805.5	Internet Access Extension	DESCRIPTION: To provide phyisicians and other medical providers with access to Medline and other health information via the Internet by replacing dial up with frame relay. REMARKS: Anderson
1000139	24000.0	Pinal County, Arizona Information Infrastructure Development	DESCRIPTION: To provide access to medical library resources and services to a consortium of health care organizations and their staffs. REMARKS: Auflick
1000140	9943.666666666666	Internet access for SIR's rural health clinics	DESCRIPTION: Funds will be used to link the Susanville Indian Rancheria's three clinics together and to upgrade existing hubs. REMARKS: Bear
1000141	6000.0	P.C. Lakota Campus NLM Connectivity Project	DESCRIPTION: Provide connectivity to NLM databases and training for using them effectively for faculty, staff and students at the college and local health care providers. REMARKS: Beyer
1000142	5976.0	Online access to the archives of occupational therapy	DESCRIPTION: Provide online access to information about archival materials held by the Foundation. To provide training to American Occupational Therapy Association members. REMARKS: Binderman
1000143	14583.0	Internet connection for a Maine Indian Health Center	DESCRIPTION: Provide Internet access at Pleasant Point Health Center which serves the Passamaquoddy tribe. To facilitate staff access to online medical resources and train staff to use them. REMARKS: Cleaves
1000144	24228.5	North Country hospitals' internet connection project	DESCRIPTION: To link four rural hospitals in northern NY state to satellite facilities and train staff to use Internet resources. REMARKS: DeLeel
1000145	9907.333333333334	Campus wide internet connection	DESCRIPTION: Build a LAN and connect it to the Internet to provide caregivers and staff at the Medical Center, students, patients and community with Internet access. REMARKS: Genova
1000146	16656.0	Internet initiative for west central Maine	DESCRIPTION: To enhance and expand Internet access at Franklin Memorial Hospital, its network affiliates, community physicians and 5 federal health centers. REMARKS: Harvell
1000147	9980.0	Internet access project to the Manor Dental Clinic	DESCRIPTION: Manor Junior College intends to extend Internet access to the Dental  Health Center (DHC). DHC intends to initiate clinic-wide Internet access allowing the MJC Dental Health Science students to continue the use of the Internet in their upper division course work and education. REMARKS: Kovalcik
1000148	24969.5	Cook County Hospital-Rush University joint internet project	DESCRIPTION: Train residents in informatics skills. Strengthen communication between the organizations, provide access to internet resources, educate patients and consumers. REMARKS: Lane
1000149	14015.0	Papaola Lokahi Internet connection	DESCRIPTION: Papa Ola Lokai provides traditional healing services to native Hawaiians. To provide a non-profit health administration organization with high-speed access to the Internet and e-mail and train their staff to use it effectively as a research tool. REMARKS: Lee
1000150	15000.0	Remote information access for rural medical education	DESCRIPTION: Provide students, faculty & staff who work off site with same access to learning & data resources they have while on campus. Will link remote primary health care centers to SOM LAN. REMARKS: McNamee
1000152	158187.5	Shared Hospital Electronic Library of Southern Indiana	DESCRIPTION: Negotiate licenses for a consortium of 30 health care organizations for dbs and library materials. REMARKS: Richwine
1000153	11292.5	Madison County Health Department request for support for Internet connection	DESCRIPTION: To provide Internet access and e-mail for adminstrators and staff at each Madison County Health Department site, including 17 individual clinics and home health sites in 3 counties. REMARKS: Rousey
1000154	5990.0	Expanding access to online resources - Staples Minnesota	DESCRIPTION: To support planning & implementation of an improved set of online resources for the Hospital and its clinics, including Internet access and library services REMARKS: Ryle
1000156	22050.0	T1 Line Connectivity for Anson and Beaufort Counties	DESCRIPTION: To connect two rural county health departments which do not have T1 connectivity. To improve access for public health professionals. Training will be provided through the AHEC. REMARKS: Stephens
1000158	24250.0	Lynchburg Neighbornet	DESCRIPTION: Create Internet access for local health providers via the college's school of nursing, and train health staff in use of internet based health resources. REMARKS: Whitman
1000159	5645.0	Integration of a research LAN and the Internet	DESCRIPTION: This proposal seeks to upgrade the present single ISDN line that serves the Institute to a full T1 data line. Included in a T1 installation is an on-site router, and gateway. The  installation of two high-performance, high-capacity file servers is also proposed. REMARKS: Wilson
1000160	59845.5	Triple A (Access, Ability, Assistance)	DESCRIPTION: To provide health professionals in 13 parish regions (10 sites) with library services, Internet access & training. Sites include six community hospitals, a community health center, a public library, a career center,  and the University library. REMARKS: Smith
1000200	12479.25	University of Florida - Improving Information Skills for Florida Public Health Professionals	DESCRIPTION: The University of Florida Health Center Library will provide onsite Internet training to public health professionals in 14 rural northern Florida counties. They will exhibit and provide demonstrations at state professional association meetings. REMARKS: PILastName: Butson PIFirstName: Linda PIEmailAddress: linda@library.health.ufl.edu PITelephone: 352-392-4016 Training: Y URL: AwardType: Outreach project  ProfessionalTargetPopPH:  y ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:y  OtherProfessionalTargetPop:
1000201	7590.0	University of Maryland - Health Outreach to Faith Communities through a Parish Nurse Program	DESCRIPTION: The University of Maryland Health Sciences and Human Services Library will identify local parish nurses, assess their computer literacy, Internet access and knowledge and skills specific to health information. They will provide training, a web site of relevant nursing information and ongoing health information support. REMARKS: PILastName: Tooey PIFirstName: M.J. PIEmailAddress:mjtooey@umaryland.edu  PITelephone: 410-706-2693 Training: Y URL:http://www.parishnursing.umaryland.edu/ AwardType: Outreach project ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:n  OtherProfessionalTargetPop:
1000202	12500.0	East Tennessee State University - Consumer Health Information Service	DESCRIPTION: East Tennessee State University Quillen School of Medicine Library will create a Consumer Health Information Service with the public libraries. They will provide document delivery, reference services, a web page and training to the librarians and the public. They will provide also document delivery and training to regional physicians. They will partner with the Preston Medical Library on this project. REMARKS: PILastName: Fisher PIFirstName: Janet PIEmailAddress: fisherj@etsu.edu PITelephone: 423-439-6211 Training: Y URL:http://qcom.etsu.edu/medlib/consumer AwardType: Outreach project ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000203	12504.75	University of Virginia - Partnership for Cancer Information	DESCRIPTION: The University of Virginia will create and promote a cancer resource center to assist cancer patients and their families in Southwest Virginia. They will provide PubMed, MEDLINEplus and reference interview training to Center volunteers and will develop a Center web site. REMARKS: PILastName: Duesing PIFirstName: Ann PIEmailAddress: cad4n@virginia.edu PITelephone: 276-328-0168 Training: Y URL: http://mountainlaurelcancer.org/about.htm AwardType: Outreach project  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000204	243952.0	University of North Carolina at Chapel Hill - North Carolina Health Information Online	DESCRIPTION: University of North Carolina at Chapel Hill Health Sciences Library will identify and select state and local health information resources that address key health problems in NC. They will create a database to access these resources using the file structure of MEDLINEplus and evaluate how to link records in both databases. REMARKS: PILastName: Jenkins PIFirstName: Carol PIEmailAddress: carol_jenkins@unc.edu PITelephone: 919-966-2111 Training: Y URL:http://www.nchealthinfo.org  AwardType: Outreach Project  ProfessionalTargetPopPH: n  ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000205	7135.25	University of Virginia - Promotoras Project	DESCRIPTION: University of Virginia Claude Moore Health Sciences Library will provide computer and Internet training to Promotoras in the Blue Ridge AHEC region of VA. They will develop a web site of Spanish language and low literacy materials and place computers and Internet connections at two churches and a public library for the Promotoras. REMARKS: PILastName: Rios PIFirstName: Gabriel PIEmailAddress: rios@virginia.edu PITelephone: 434-924-0051 Training: Y URL:http://www.med.virginia.edu/hs-library/outreach/promotoras.html AwardType: outreach project ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000206	7500.0	University of Tennessee - Community Health Center Project	DESCRIPTION: University of Tennessee Health Sciences Center Library will deliver instruction to develop intermediate and advanced computer literacy skills for the 60 healthcare personnel at the Christ Community Health Service. The skills will enable staff to locate and evaluate quality health information on the WWW. REMARKS: PILastName: Green PIFirstName: Brenda PIEmailAddress: bfgreen@utmem.edu PITelephone: 901-448-4759 Training: Y URL: AwardType:Outreach project  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent:y  ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop: Clinical psychologist
1000207	12500.0	Northwest AHEC - PDA Project	"DESCRIPTION: In collaboration with the Winston-Salem State University Family Nurse Practitioner Program, the Northwest AHEC will integrate the use of ""hand held"" technology into the educational process to instill life-long information management skills. REMARKS: PILastName: Lischke PIFirstName: Michael PIEmailAddress: mlischke@wfubmc.edu PITelephone: 336-713-7399 Training: Y URL: AwardType:Outreach project  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:y  OtherProfessionalTargetPop:"
1000208	10603.0	Medical University of South Carolina - Health Narratives Project	DESCRIPTION: Medical University of South Carolina will identify citizens for story telling and interviews that will become health narratives. They will link the health issues identified in the narratives to state and national health information resources and make them available on the web and in print. REMARKS: PILastName: Basler PIFirstName: Thomas PIEmailAddress: basler@musc.edu PITelephone: 843-792-9211 Training: Y URL:  AwardType: Outreach project ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000210	4931.333333333333	University of Alabama at Birmingham - Healthy Spirit Jefferson County	DESCRIPTION: University of Alabama Birmingham Lister Hill Library will address and eliminate barriers encountered by African American men in accessing health information on the Internet. They will place computers, printers and fax machines in select churches and provide training and workshops on health issues. REMARKS: PILastName: Hogan Smith PIFirstName: Kay PIEmailAddress: khogan@uab.edu PITelephone: 205-934-2231 Training: Y URL: AwardType: Outreach project  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000211	9156.75	Three Rivers AHEC - eHEALTH C.A.R.E. Project	DESCRIPTION: Three Rivers AHEC will develop a web presence to promote 5 rural hospitals and their services. The websites also will provide access to health information resources and community health services available in the counties served by the hospitals. They will provide WWW training to various groups. REMARKS: PILastName: Fielder PIFirstName: Mary PIEmailAddress: mfielder@threeriversahec.org PITelephone: 706-660-2499 Training: Y URL: AwardType: Outreach project  ProfessionalTargetPopPH:  y ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:y  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:n  OtherProfessionalTargetPop:
1000212	12500.0	George Washington University - PARTNERS for Consumer Health III	DESCRIPTION: George Washington University will provide learning opportunities for staff and patients at underserved clinics in DC. They will tailor resources and classes to specific clinic specialties. They will make available credible resources for use by health professionals and patients. REMARKS: PILastName: Pomerantz PIFirstName: Karyn PIEmailAddress: kpomeran@gwu.edu PITelephone: 202-994-2976 Training: Y URL:http://www.gwumc.edu/partners/index.htm  AwardType: Outreach project ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:y  OtherProfessionalTargetPop:
1000213	30807.333333333332	Professional Associates -Youthbuilders Corp Project	DESCRIPTION: Professional Associates with its community partners, will assist youths in adopting and promoting healthy lifestyles to reduce their risk of developing diabetes. They will build a Youthbuilders Corp with research presentation and advocacy skills to enable peer education about diabetes. REMARKS: PILastName: Perot PIFirstName: Ruth PIEmailAddress: rperot@shireinc.org PITelephone: 301-567-2410 Training: y URL: AwardType: Outreach project  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: n ProfessionalTargetPopRN: n ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:n  OtherProfessionalTargetPop:
1000214	306443.6	Library Improvement Project - Knollwood Hospital	DESCRIPTION: Library improvement project to provide a new hospital library with a bank of computers. University of South Alabama will assist with the project. REMARKS: PILastName: Williams PIFirstName: Thomas PIEmailAddress: twilliam@usouthal.edu PITelephone: 251-460-6885 Training: y URL: AwardType: library improvement  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:y  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: y OtherProfessionalTargetPop:
1000215	3500.0	Library Improvement Project - Pungo District	DESCRIPTION: Library improvement project to advance technology, utlization of library services and the library collection. Eastern AHEC will assist with the project. REMARKS: PILastName: Russell  PIFirstName: Roger PIEmailAddress: russellr@mail.ecu.edu PITelephone: 252-816-2080 Training: Y URL: AwardType: library improvement  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents:n  OtherProfessionalTargetPop:
1000216	2333.3333333333335	Library Improvement Project - Outer Banks Hospital	DESCRIPTION: Library improvement project to advance technology, library services and the library collection at the Outer Banks Hospital. Eastern AHEC will assist with the project. REMARKS: PILastName: Russell PIFirstName: Roger PIEmailAddress: russellr@mail.ecu.edu PITelephone: 252-816-2066 Training: Y URL: AwardType: library improvement  ProfessionalTargetPopPH:  n ProfessionalTargetPopMD: y ProfessionalTargetPopRN: y ProfessionalTargetPopPharm:n  ProfessionalTargetPopDent: n ProfessionalTargetPopVet: n ProfessionalTargetPopHPStudents: n OtherProfessionalTargetPop:
1000217	3412.5	Information Technology Skills for Social Workers	"DESCRIPTION: The Boston College School of Social Work will develop and provide a two-day workshop for practicing social workers titled: ""Information Technology Skills for Social Workers"". REMARKS: PILastName: Cohen PIFirstName: Betty  PIEmailAddress: betty.cohen@bc.edu PITelephone: : 617-552-3234 Training: Y URL:  AwardType: outreach project ProfessionalTargetPopPH: Y ProfessionalTargetPopMD: N ProfessionalTargetPopRN:N ProfessionalTargetPopPharm: N ProfessionalTargetPopDent: N ProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents: N OtherProfessionalTargetPop: Social Workers"
1000218	13333.333333333334	Access to Biomedical Information in HIV and AIDS	DESCRIPTION: The BUMC Library and the Boston Public Health Commission will facilitate access to HIV and AIDS information by providing training to consumers of the Boston EMA and the approx. 60 Title I and City of Boston Prevention Education and Care funded programs. REMARKS: PILastName: Ginn PIFirstName: David PIEmailAddress: dginn@bu.edu PITelephone: 617-638-4230 Training: Y  URL: http://med-libwww.bu.edu/library/aidsclass.html AwardType: outreach project ProfessionalTargetPopPH: Y  ProfessionalTargetPopMD: N  ProfessionalTargetPopRN: N ProfessionalTargetPopPharm: N ProfessionalTargetPopDent: N ProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents: NOtherProfessionalTargetPop:
1000219	12500.0	Community-Based Instruction on Use of the Internet to Find Health Information.	DESCRIPTION: Provide classes to community-based groups in western Massachusetts. Fifteen classes taught by MCP faculty members and library staff will encourage community members to use the Internet to find quality health information. REMARKS: PILastName: Pober PIFirstName: Zalmon PIEmailAddress: zpober@mcp.edu PITelephone:  Training: Y  URL:   AwardType: outreach project ProfessionalTargetPopPH: N  ProfessionalTargetPopMD: N ProfessionalTargetPopRN: N ProfessionalTargetPopPharm:Y ProfessionalTargetPopDent: N ProfessionalTargetPopVet:N ProfessionalTargetPopHPStudents: Y OtherProfessionalTargetPop:
1000220	13000.0	Access to Resources for Community Health (ARCH)	DESCRIPTION: A community-based electronic information outreach project to increase awareness of quality health information and resources in the underserved, urban communities of Charlestown, Chelsea, Everett, and Revere. (MA) Populations served include Latinos, Asian, and African American. REMARKS: PILastName: Schneider PIFirstName: ElizabethPIEmailAddress: eschneider1@partners.org PITelephone: 617-724-2791 Training: Y URL: http://www.mgh.harvard.edu/library/arch/resources.aspAwardType: outreach project ProfessionalTargetPopPH: Y ProfessionalTargetPopMD: N ProfessionalTargetPopRN: Y ProfessionalTargetPopPharm: NProfessionalTargetPopDent: NProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents:N OtherProfessionalTargetPop:
1000221	7458.0	Outreach to Health Workers in the Asian Community	DESCRIPTION: The Library will work with the 60 health care providers at South Cove a clinic specializing in providing medical services to Asian groups who are not being served elsewhere. Library staff will provide training on locating and using health information. REMARKS: PILastName: Ho PIFirstName: Cora PIEmailAddress: cora.ho@tufts.edu PITelephone: 617-636-3688 Training: Y  URL:  AwardType: outreach project ProfessionalTargetPopPH: Y ProfessionalTargetPopMD: Y ProfessionalTargetPopRN: Y ProfessionalTargetPopPharm: NProfessionalTargetPopDent: N ProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents: N OtherProfessionalTargetPop:
1000222	4572.25	Outreach to Parents Interested in Finding Quality Health Information on the Internet for their Child	DESCRIPTION: A program to provide classes to parents who are interested in finding quality health information on the Internet for their children. The project will also provide customized classes for parent groups and community agencies that serve children. REMARKS: PILastName: Martin PIFirstName: Elaine PIEmailAddress: elaine.martin@umassmed.edu PITelephone: 508-856-2399 Training: Y  URL:  AwardType: outreach project ProfessionalTargetPopPH: N ProfessionalTargetPopMD: Y  ProfessionalTargetPopRN:Y ProfessionalTargetPopPharm:N ProfessionalTargetPopDent: N ProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents: N OtherProfessionalTargetPop:
1000223	8777.0	Development of a Consumer Health Information Center at New Haven Public Library	DESCRIPTION: A collaboration of various organizations to develop a Consumer Health Information Center (CHIC) at the New Haven Public Library. The CHIC will serve the New Haven area providing access and training in the use of health related resources to local citizens. Populations served include African Americans and Latinos from the Inner City. REMARKS: PILastName: Marone PIFirstName: Regina Kenny  PIEmailAddress: regina.marone@yale.edu PITelephone: 203-785-5352 Training: Y URL:  AwardType: outreach project  ProfessionalTargetPopPH: N ProfessionalTargetPopMD: N  ProfessionalTargetPopRN: N ProfessionalTargetPopPharm: N ProfessionalTargetPopDent: N ProfessionalTargetPopVet: N ProfessionalTargetPopHPStudents: N OtherProfessionalTargetPop:
1000225	1500.0	Express Outreach Award 2002-Marshall Medical Community Health Library	"DESCRIPTION: Health Literacy & Information and Referral Resource Awareness project. The awardee will demonstrate & provide hands-on practice accessing NLM on-line resources and will partner community based organizations	 local department of health & public libraries. REMARKS: This project is in connection with the Pacific Southwest Regional Medical Library Express Outreach Award Program which has a continuously rolling application process throughout each year of the 5 year RML contract program. PSRML awards funding for outreach projects to be conducted by network members in support of the NN/LM mission. PSRML awards funding for at least four projects per year, at the level of up to $6,000 each. Applications are accepted via a web-based form.  The PI is Ellen Van Treuren Richards.  The email is erichards@marshall hospital.org.  The phone number is 530-295-1056.  Training will be provided.  It is an Outreach Project."
